"2021-03-10 at 8:49"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-03-10	8:50:21	4.99692e2	5.13509e1	7.40732e1	7.5210466e-2	1.2094056e1	7.3747963e-1	
2021-03-10	8:50:21	5.00232e2	5.13542e1	7.40607e1	7.5266890e-2	1.2104966e1	7.3916063e-1	
2021-03-10	8:50:22	5.00277e2	5.13575e1	7.40654e1	7.5271024e-2	1.2100770e1	7.2838649e-1	
2021-03-10	8:50:22	5.00124e2	5.13542e1	7.40757e1	7.5255508e-2	1.2114198e1	7.2518281e-1	
2021-03-10	8:50:23	4.99951e2	5.13575e1	7.40635e1	7.5236692e-2	1.2105805e1	7.3750905e-1	
2021-03-10	8:50:23	5.00471e2	5.13542e1	7.40687e1	7.5292057e-2	1.2097413e1	7.2123165e-1	
2021-03-10	8:50:24	5.00223e2	5.13476e1	7.40717e1	7.5266971e-2	1.2094895e1	7.4180212e-1	
2021-03-10	8:50:24	5.00851e2	5.13509e1	7.40547e1	7.5332646e-2	1.2105805e1	7.4898076e-1	
2021-03-10	8:50:25	5.00628e2	5.13575e1	7.40635e1	7.5308094e-2	1.2099931e1	7.2748847e-1	
2021-03-10	8:50:25	4.99925e2	5.13542e1	7.40770e1	7.5234465e-2	1.2112519e1	7.2165918e-1	
2021-03-10	8:50:26	5.00351e2	5.13509e1	7.40667e1	7.5279998e-2	1.2094056e1	7.2814865e-1	
2021-03-10	8:50:26	5.01157e2	5.13509e1	7.40739e1	7.5364828e-2	1.2096574e1	7.1586437e-1	
2021-03-10	8:50:27	5.04689e2	5.13509e1	7.40725e1	7.5736198e-2	1.2088181e1	7.3683481e-1	
2021-03-10	8:50:27	5.05710e2	5.13542e1	7.40579e1	7.5842761e-2	1.2111680e1	7.4476547e-1	
2021-03-10	8:50:28	5.02693e2	5.13542e1	7.40607e1	7.5525975e-2	1.2096574e1	7.2823610e-1	
2021-03-10	8:50:28	5.03217e2	5.13542e1	7.40749e1	7.5581078e-2	1.2099092e1	7.1746821e-1	
2021-03-10	8:50:29	5.03578e2	5.13542e1	7.40729e1	7.5619077e-2	1.2094056e1	7.1849608e-1	
2021-03-10	8:50:29	5.01626e2	5.13542e1	7.40759e1	7.5413756e-2	1.2103288e1	7.1836419e-1	
2021-03-10	8:50:30	5.00776e2	5.13575e1	7.40709e1	7.5323705e-2	1.2095735e1	7.3821487e-1	
2021-03-10	8:50:30	5.00592e2	5.13575e1	7.40602e1	7.5304222e-2	1.2106645e1	7.4218182e-1	
2021-03-10	8:50:31	4.98559e2	5.13542e1	7.40619e1	7.5090322e-2	1.2100770e1	7.2519202e-1	
2021-03-10	8:50:31	4.97697e2	5.13542e1	7.40797e1	7.4999241e-2	1.2093217e1	7.1402745e-1	
2021-03-10	8:50:32	5.02633e2	5.13542e1	7.40725e1	7.5519728e-2	1.2096574e1	7.2019901e-1	
2021-03-10	8:50:32	5.05603e2	5.13575e1	7.40759e1	7.5831055e-2	1.2094056e1	7.1557970e-1	
2021-03-10	8:50:33	5.04534e2	5.13575e1	7.40729e1	7.5718851e-2	1.2099931e1	7.3875703e-1	
2021-03-10	8:50:33	5.02779e2	5.13575e1	7.40592e1	7.5534515e-2	1.2102448e1	7.4324712e-1	
2021-03-10	8:50:34	5.02011e2	5.13575e1	7.40619e1	7.5453734e-2	1.2097413e1	7.2776641e-1	
2021-03-10	8:50:34	5.02389e2	5.13575e1	7.40759e1	7.5493459e-2	1.2105805e1	7.1918563e-1	
2021-03-10	8:50:35	5.02738e2	5.13542e1	7.40697e1	7.5530710e-2	1.2091538e1	7.2532854e-1	
2021-03-10	8:50:35	5.02585e2	5.13509e1	7.40732e1	7.5515232e-2	1.2108323e1	7.1919898e-1	
2021-03-10	8:50:36	5.02546e2	5.13542e1	7.40702e1	7.5510587e-2	1.2097413e1	7.4534559e-1	
2021-03-10	8:50:36	5.02844e2	5.13542e1	7.40492e1	7.5541901e-2	1.2124269e1	7.5030303e-1	
2021-03-10	8:50:37	5.02890e2	5.13509e1	7.40607e1	7.5547213e-2	1.2111680e1	7.2546958e-1	
2021-03-10	8:50:37	5.03033e2	5.13509e1	7.40722e1	7.5562334e-2	1.2092378e1	7.2185764e-1	
2021-03-10	8:50:38	5.03530e2	5.13542e1	7.40662e1	7.5613951e-2	1.2101609e1	7.2552018e-1	
2021-03-10	8:50:38	5.03687e2	5.13608e1	7.40737e1	7.5629463e-2	1.2094056e1	7.1566915e-1	
2021-03-10	8:50:39	5.02992e2	5.13575e1	7.40722e1	7.5556850e-2	1.2089860e1	7.3548007e-1	
2021-03-10	8:50:39	5.03467e2	5.13542e1	7.40569e1	7.5607404e-2	1.2108323e1	7.4318270e-1	
2021-03-10	8:50:40	5.03165e2	5.13542e1	7.40592e1	7.5575661e-2	1.2103288e1	7.2516670e-1	
2021-03-10	8:50:40	5.02257e2	5.13542e1	7.40780e1	7.5480155e-2	1.2109162e1	7.1397686e-1	
2021-03-10	8:50:41	5.02892e2	5.13575e1	7.40727e1	7.5546445e-2	1.2086503e1	7.2247819e-1	
2021-03-10	8:50:41	5.03255e2	5.13608e1	7.40737e1	7.5583982e-2	1.2101609e1	7.1737623e-1	
2021-03-10	8:50:42	5.02351e2	5.13542e1	7.40707e1	7.5490007e-2	1.2102448e1	7.3829226e-1	
2021-03-10	8:50:42	5.01886e2	5.13575e1	7.40592e1	7.5440592e-2	1.2104966e1	7.4165620e-1	
2021-03-10	8:50:43	5.02433e2	5.13641e1	7.40647e1	7.5497002e-2	1.2110002e1	7.2294526e-1	
2021-03-10	8:50:43	5.02491e2	5.13575e1	7.40759e1	7.5504250e-2	1.2095735e1	7.1775722e-1	
2021-03-10	8:50:44	5.02324e2	5.13575e1	7.40695e1	7.5486621e-2	1.2097413e1	7.2313599e-1	
2021-03-10	8:50:44	5.01534e2	5.13575e1	7.40770e1	7.5403456e-2	1.2099092e1	7.1339073e-1	
2021-03-10	8:50:45	5.01024e2	5.13608e1	7.40759e1	7.5349283e-2	1.2098252e1	7.3245406e-1	
2021-03-10	8:50:45	5.01423e2	5.13608e1	7.40630e1	7.5391316e-2	1.2106645e1	7.3897814e-1	
2021-03-10	8:50:46	5.01765e2	5.13575e1	7.40635e1	7.5427823e-2	1.2109162e1	7.2522344e-1	
2021-03-10	8:50:46	5.02048e2	5.13575e1	7.40759e1	7.5457620e-2	1.2097413e1	7.1445894e-1	
2021-03-10	8:50:47	5.02339e2	5.13575e1	7.40747e1	7.5488233e-2	1.2095735e1	7.1644968e-1	
2021-03-10	8:50:47	5.00863e2	5.13608e1	7.40772e1	7.5332288e-2	1.2094056e1	7.1826024e-1	
2021-03-10	8:50:48	5.01642e2	5.13575e1	7.40712e1	7.5414886e-2	1.2092378e1	7.3665022e-1	
2021-03-10	8:50:48	5.07599e2	5.13575e1	7.40617e1	7.6040196e-2	1.2110002e1	7.3784184e-1	
2021-03-10	8:50:49	5.12601e2	5.13608e1	7.40617e1	7.6561822e-2	1.2100770e1	7.2567787e-1	
2021-03-10	8:50:49	5.13455e2	5.13608e1	7.40757e1	7.6650657e-2	1.2102448e1	7.1758213e-1	
2021-03-10	8:50:50	5.11396e2	5.13608e1	7.40684e1	7.6436223e-2	1.2096574e1	7.2603220e-1	
2021-03-10	8:50:50	5.08308e2	5.13575e1	7.40725e1	7.6114320e-2	1.2104127e1	7.1530179e-1	
2021-03-10	8:50:51	5.08616e2	5.13542e1	7.40745e1	7.6147108e-2	1.2092378e1	7.3439760e-1	
2021-03-10	8:50:51	5.09162e2	5.13542e1	7.40607e1	7.6204133e-2	1.2104127e1	7.4195194e-1	
2021-03-10	8:50:52	5.07654e2	5.13542e1	7.40612e1	7.6046400e-2	1.2104127e1	7.2724819e-1	
2021-03-10	8:50:52	5.06840e2	5.13608e1	7.40749e1	7.5960149e-2	1.2112519e1	7.1821241e-1	
2021-03-10	8:50:53	5.05584e2	5.13641e1	7.40687e1	7.5827941e-2	1.2097413e1	7.2197208e-1	
2021-03-10	8:50:53	5.03893e2	5.13608e1	7.40757e1	7.5651078e-2	1.2099931e1	7.1746449e-1	
2021-03-10	8:50:54	5.03519e2	5.13575e1	7.40712e1	7.5612268e-2	1.2102448e1	7.3907017e-1	
2021-03-10	8:50:54	5.04955e2	5.13509e1	7.40565e1	7.5764141e-2	1.2120912e1	7.4307165e-1	
2021-03-10	8:50:55	5.05496e2	5.13509e1	7.40640e1	7.5820899e-2	1.2101609e1	7.2413439e-1	
2021-03-10	8:50:55	5.04737e2	5.13542e1	7.40745e1	7.5740728e-2	1.2110841e1	7.1737260e-1	
2021-03-10	8:50:56	5.05273e2	5.13575e1	7.40722e1	7.5796461e-2	1.2094895e1	7.2370567e-1	
2021-03-10	8:50:56	5.06054e2	5.13641e1	7.40762e1	7.5877194e-2	1.2094895e1	7.1209244e-1	
2021-03-10	8:50:57	5.05143e2	5.13608e1	7.40754e1	7.5782270e-2	1.2099092e1	7.3241815e-1	
2021-03-10	8:50:57	5.04577e2	5.13575e1	7.40614e1	7.5723433e-2	1.2116715e1	7.4044942e-1	
2021-03-10	8:50:58	5.06446e2	5.13575e1	7.40612e1	7.5919442e-2	1.2101609e1	7.2591280e-1	
2021-03-10	8:50:58	5.08466e2	5.13542e1	7.40762e1	7.6131401e-2	1.2099931e1	7.1528367e-1	
2021-03-10	8:50:59	5.07568e2	5.13542e1	7.40727e1	7.6037402e-2	1.2101609e1	7.1657705e-1	
2021-03-10	8:50:59	5.05212e2	5.13542e1	7.40759e1	7.5790596e-2	1.2112519e1	7.2123532e-1	
2021-03-10	8:51:00	5.05501e2	5.13575e1	7.40670e1	7.5820393e-2	1.2091538e1	7.4371886e-1	
2021-03-10	8:51:00	5.08205e2	5.13641e1	7.40554e1	7.6102485e-2	1.2118394e1	7.4621171e-1	
2021-03-10	8:51:01	5.10082e2	5.13608e1	7.40607e1	7.6299118e-2	1.2110002e1	7.2759861e-1	
2021-03-10	8:51:01	5.10973e2	5.13575e1	7.40767e1	7.6392679e-2	1.2109162e1	7.2395558e-1	
2021-03-10	8:51:02	5.13200e2	5.13575e1	7.40650e1	7.6624670e-2	1.2099092e1	7.3064403e-1	
2021-03-10	8:51:02	5.11083e2	5.13575e1	7.40725e1	7.6404099e-2	1.2098252e1	7.1557693e-1	
2021-03-10	8:51:03	5.07254e2	5.13542e1	7.40754e1	7.6004590e-2	1.2090699e1	7.3450751e-1	
2021-03-10	8:51:03	5.08113e2	5.13542e1	7.40605e1	7.6094417e-2	1.2105805e1	7.4375152e-1	
2021-03-10	8:51:04	5.08832e2	5.13575e1	7.40650e1	7.6169137e-2	1.2110841e1	7.2854332e-1	
2021-03-10	8:51:04	5.08017e2	5.13575e1	7.40757e1	7.6083898e-2	1.2096574e1	7.2442636e-1	
2021-03-10	8:51:05	5.07888e2	5.13575e1	7.40627e1	7.6070356e-2	1.2095735e1	7.3682603e-1	
2021-03-10	8:51:05	5.07568e2	5.13608e1	7.40702e1	7.6036310e-2	1.2102448e1	7.1897892e-1	
2021-03-10	8:51:06	5.07665e2	5.13641e1	7.40754e1	7.6046013e-2	1.2097413e1	7.3287868e-1	
2021-03-10	8:51:06	5.08854e2	5.13608e1	7.40575e1	7.6170873e-2	1.2106645e1	7.5087952e-1	
2021-03-10	8:51:07	5.08867e2	5.13575e1	7.40579e1	7.6172800e-2	1.2106645e1	7.3198614e-1	
2021-03-10	8:51:07	5.07458e2	5.13575e1	7.40770e1	7.6025352e-2	1.2094056e1	7.1902441e-1	
2021-03-10	8:51:08	5.07437e2	5.13575e1	7.40687e1	7.6023221e-2	1.2093217e1	7.2713398e-1	
2021-03-10	8:51:08	5.03883e2	5.13608e1	7.40717e1	7.5649986e-2	1.2106645e1	7.1977300e-1	
